lake_id,system:time_start,date,system:index,ST,ST_max,ST_min,ST_stddev,ST_count,QA_PIXEL
6,1.742049459406E12,2025-03-15,1_1_1_2_LC08_005016_20250315,-5.792571146245213,[0.3480122657600191],[-11.211649341759994],[0.9316438351428602],[78507],29714.002775998593
6,1.744814244753E12,2025-04-16,1_1_1_2_LC08_005016_20250416,-1.39943994646157,[5.141580234560024],[-8.925062322159988],[0.8671994788444619],[78507],30024.963735140467
6,1.750343853726E12,2025-06-19,1_1_1_2_LC08_005016_20250619,3.3587243713077863,[15.029002901240005],[1.8604656076400374],[0.5860659287366881],[78532],22082.14257718375
6,1.776609445341E12,2026-04-19,1_1_1_2_LC08_005016_20260419,-2.7261898673919203,[0.38933612756],[-9.666136910440002],[0.7362171219341139],[78507],29976.118506380204
6,1.783521437301E12,2026-07-08,1_1_1_2_LC08_005016_20260708,3.8157859752434153,[14.034475293920025],[1.6400716780400444],[0.7598161709636934],[78474],21993.228088628897
6,1.786286252318E12,2026-08-09,1_1_1_2_LC08_005016_20260809,3.9030734769918034,[9.279476262800017],[2.1662621849600328],[0.5824256790600345],[77289],22280.83538665323
6,9.57709061487E11,2000-05-07,1_1_2_LE07_003016_20000507,5.372993860640065,[null],[null],[null],[0],13600.0
6,9.66003396199E11,2000-08-11,1_1_2_LE07_003016_20000811,7.468067754791077,[14.577195345560028],[2.2489099085599946],[3.7544543551783107],[342],7498.47167500372
6,9.67385787856E11,2000-08-27,1_1_2_LE07_003016_20000827,5.729470450004364,[13.23003745087999],[2.0863693854799976],[2.3745727275447597],[1013],7666.253268353059
6,9.96416082149E11,2001-07-29,1_1_2_LE07_003016_20010729,5.772495135080931,[14.987679039440025],[1.863220531760021],[3.0222160870544403],[1482],6207.462586635002
6,1.019916859764E12,2002-04-27,1_1_2_LE07_003016_20020427,2.0234361140229695,[7.720189210879994],[-0.963331615359948],[2.2580384371902205],[106],13600.0
6,1.024064042318E12,2002-06-14,1_1_2_LE07_003016_20020614,,[null],[null],[null],[0],
6,1.030976010734E12,2002-09-02,1_1_2_LE07_003016_20020902,5.834168244979021,[10.488887951480024],[1.3397849489600162],[2.3067835546939413],[522],7993.302219692653
6,1.094566452691E12,2004-09-07,1_1_2_LE07_003016_20040907,,[null],[null],[null],[0],
6,1.148480135079E12,2006-05-24,1_1_2_LE07_003016_20060524,,[null],[null],[null],[0],
6,1.183040146081E12,2007-06-28,1_1_2_LE07_003016_20070628,5.954750724015673,[19.987866317240048],[0.30944332808002173],[4.614257739043457],[645],8199.074382972525
6,1.207923339227E12,2008-04-11,1_1_2_LE07_003016_20080411,-1.925096704060696,[2.408695507520008],[-8.903022929200006],[0.737205740512615],[1595],13600.0
6,1.217600085972E12,2008-08-01,1_1_2_LE07_003016_20080801,8.000333486514954,[15.629576359400062],[2.9156015455999977],[3.7418304632842956],[552],5509.209513152116
6,1.245248156444E12,2009-06-17,1_1_2_LE07_003016_20090617,1.833718847642399,[11.797476908480007],[-29.005704232839975],[2.5156696904847067],[1456],11076.122005621934
6,1.246630553721E12,2009-07-03,1_1_2_LE07_003016_20090703,6.8279002921167535,[17.235697121360033],[-32.19039651555997],[4.600549854461174],[941],7313.009872008024
6,1.249395343993E12,2009-08-04,1_1_2_LE07_003016_20090804,5.243701577846848,[12.871897315280023],[-22.589485957359955],[3.324326367331009],[220],9518.679326715583
6,1.253542539806E12,2009-09-21,1_1_2_LE07_003016_20090921,-2.029473701578714,[3.529949624360029],[-21.886980306759966],[1.9860480423527684],[1001],12807.42005102582
6,1.268749059732E12,2010-03-16,1_1_2_LE07_003016_20100316,-11.170844359980492,[-8.21153697507998],[-19.91169971271998],[1.1543927613048672],[1352],13600.567298639973
6,1.27151386396E12,2010-04-17,1_1_2_LE07_003016_20100417,-0.7572875427641367,[8.273928959000045],[-18.680248631079962],[2.7735262673869814],[1222],13453.660166916901
6,1.278425863657E12,2010-07-06,1_1_2_LE07_003016_20100706,-0.2452104493310608,[9.152749753280034],[-34.83787859487995],[10.238148294850616],[23],12482.647814910031
6,1.28119066363E12,2010-08-07,1_1_2_LE07_003016_20100807,8.221746221163599,[12.373256049560041],[6.158147234840044],[2.8610788552709603],[3],5442.0
6,1.283955468241E12,2010-09-08,1_1_2_LE07_003016_20100908,4.970379662992376,[11.293325794520058],[-39.816026479719966],[3.5754076484496067],[426],5503.388431120105
6,1.317133125357E12,2011-09-27,1_1_2_LE07_003016_20110927,-0.06836268558248804,[7.342764606440028],[-42.92909073531999],[2.5329115576984846],[1166],12452.674965440416
6,1.332339578841E12,2012-03-21,1_1_2_LE07_003016_20120321,-9.074659512855185,[-5.836792383639988],[-17.49563125947998],[1.524885761107465],[411],13575.008684300154
6,1.336486808501E12,2012-05-08,1_1_2_LE07_003016_20120508,1.2386892308220998,[14.615764283239969],[-38.94822538191997],[1.4890621424555341],[12813],13548.080919075988
6,1.365517293023E12,2013-04-09,1_1_2_LE07_003016_20130409,2.187923107757732,[8.521872129800045],[-41.006153699559974],[3.8754238779549426],[546],12524.418537542559
6,1.369664479216E12,2013-05-27,1_1_2_LE07_003016_20130527,3.0705957267413257,[9.52190958536005],[-38.47988828151995],[3.2308851634815765],[1155],7794.662150811498
6,1.373811654395E12,2013-07-14,1_1_2_LE07_003016_20130714,4.191465957294943,[12.654258309800014],[-30.529177271199984],[2.536501850762162],[704],5935.205108099025
6,1.375194046137E12,2013-07-30,1_1_2_LE07_003016_20130730,6.980350903630687,[14.125387789880051],[-30.708247338999968],[4.340743317462581],[507],5630.759323919293
6,9.57709085352E11,2000-05-07,1_1_2_LE07_003017_20000507,7.39786308884004,[null],[null],[null],[0],13600.0
6,1.019916883644E12,2002-04-27,1_1_2_LE07_003017_20020427,1.9669026111873493,[7.962622533440026],[-0.963331615359948],[2.2280992516377207],[107],13600.0
6,1.024064066195E12,2002-06-14,1_1_2_LE07_003017_20020614,,[null],[null],[null],[0],
6,1.030976034611E12,2002-09-02,1_1_2_LE07_003017_20020902,5.914150616544363,[10.662448171040012],[1.3370300248400326],[2.347021151314646],[492],7657.849998804201
6,1.094566476567E12,2004-09-07,1_1_2_LE07_003017_20040907,,[null],[null],[null],[0],
6,1.148480158956E12,2006-05-24,1_1_2_LE07_003017_20060524,,[null],[null],[null],[0],
6,1.149862556513E12,2006-06-09,1_1_2_LE07_003017_20060609,,[null],[null],[null],[0],
6,1.178892978533E12,2007-05-11,1_1_2_LE07_003017_20070511,4.322837912820196,[13.373293505119989],[0.6923777807600118],[3.511520857842768],[606],13049.107921194875
6,1.2079233631E12,2008-04-11,1_1_2_LE07_003017_20080411,-1.8923468092594993,[2.397675811040017],[-9.938874398319967],[0.7301342205697297],[1576],13600.0
6,1.217600109845E12,2008-08-01,1_1_2_LE07_003017_20080801,4.780540918049598,[11.59361252360003],[3.1966038058400272],[1.3619206486469975],[237],5508.002236621385
6,1.238336170429E12,2009-03-29,1_1_2_LE07_003017_20090329,-11.75923556812774,[-8.795580888519964],[-16.61681046519999],[1.197629300956614],[291],13600.88128088129
6,1.241100979174E12,2009-04-30,1_1_2_LE07_003017_20090430,-0.5640658851106661,[7.375823695880058],[-19.773953506719977],[1.815120909791846],[1572],13600.0
6,1.250777765355E12,2009-08-20,1_1_2_LE07_003017_20090820,,[null],[null],[null],[0],
6,1.253542563684E12,2009-09-21,1_1_2_LE07_003017_20090921,-2.3025116299126474,[3.8329912775600405],[-32.02785599247997],[2.2393840924272754],[776],13197.013060910416
6,1.270131487264E12,2010-04-01,1_1_2_LE07_003017_20100401,-0.2514001930260176,[5.99560671175999],[-43.02275815539997],[2.39760874186037],[1662],13373.54686740907
6,1.271513887834E12,2010-04-17,1_1_2_LE07_003017_20100417,-0.6944566145138126,[8.207810780120042],[-12.999595095639961],[2.713573497538372],[1189],13463.653843617709
6,1.281190687503E12,2010-08-07,1_1_2_LE07_003017_20100807,16.196043228454617,[16.98224410232001],[16.98224410232001],[0.0],[1],5698.0
6,1.283955492119E12,2010-09-08,1_1_2_LE07_003017_20100908,4.370863313964186,[10.455828862039994],[-19.192664517399947],[2.6000618835518994],[322],5504.8919150393995
6,1.300544368631E12,2011-03-19,1_1_2_LE07_003017_20110319,,[null],[null],[null],[0],
6,1.303309170404E12,2011-04-20,1_1_2_LE07_003017_20110420,2.0655759244523444,[5.058932510960005],[-2.0460167945199714],[1.5777989212337953],[52],11542.67121729238
6,1.304691571446E12,2011-05-06,1_1_2_LE07_003017_20110506,-0.556734062921415,[2.7640807190000487],[-6.641230226679966],[1.4286806488542259],[155],13744.969681606164
6,1.332339602714E12,2012-03-21,1_1_2_LE07_003017_20120321,-8.861439467098279,[-5.834037459520005],[-20.26708492419999],[1.4857614227899887],[395],13600.713732729877
6,1.361370125596E12,2013-02-20,1_1_2_LE07_003017_20130220,-2.9978077368040603,[-0.08726574519994301],[-4.362907979439967],[0.7777021482291934],[384],12967.67435449784
6,1.362752523735E12,2013-03-08,1_1_2_LE07_003017_20130308,-7.944527217854346,[-2.809130775759968],[-42.43595931783997],[3.1905119440822634],[446],13164.838222378363
6,1.365517316901E12,2013-04-09,1_1_2_LE07_003017_20130409,2.398144582759084,[8.587990308679991],[-32.00306167539998],[2.9710361708303274],[520],12401.814572640207
6,1.372429288502E12,2013-06-28,1_1_2_LE07_003017_20130628,4.169964625803028,[14.163956727560048],[-31.29229125243998],[2.267929487613742],[752],6534.695490663596
6,1.375194070015E12,2013-07-30,1_1_2_LE07_003017_20130730,4.055014976428885,[10.689997412240018],[-25.595108172279964],[3.3776635221453213],[272],5505.269623085642
6,9.33431075607E11,1999-07-31,1_1_2_LE07_004016_19990731,4.086139410980247,[15.144709714280054],[0.36178688636005063],[0.9068961545738654],[78531],5768.574278306526
6,9.37578272558E11,1999-09-17,1_1_2_LE07_004016_19990917,3.211334312212153,[8.207810780120042],[-1.3600406886400265],[0.6240025261867106],[78300],5843.391839029369
6,9.51402259256E11,2000-02-24,1_1_2_LE07_004016_20000224,-19.948132615380437,[-11.462347436679977],[-33.12156086811996],[3.829394810818851],[78501],12610.62666705073
6,9.5831422925E11,2000-05-14,1_1_2_LE07_004016_20000514,0.5805479645801629,[9.513644812999985],[-3.318791737959998],[0.5304616284848874],[78507],13546.90074983313
6,9.85962110973E11,2001-03-30,1_1_2_LE07_004016_20010330,-1.8721900688539954,[4.571310941720014],[-10.28323991331996],[1.1239667270004339],[78507],13423.705434813986
6,9.90109293332E11,2001-05-17,1_1_2_LE07_004016_20010517,1.1340362040853036,[12.232754919440026],[-1.850417182000001],[0.6513218738717176],[78505],13541.493969864585
6,9.98403630374E11,2001-08-21,1_1_2_LE07_004016_20010821,3.916758946278622,[11.395257986960019],[1.108371322880032],[0.5378307165489685],[78268],5763.3544999969245
6,1.001168409659E12,2001-09-22,1_1_2_LE07_004016_20010922,3.099437788659593,[8.199546007760034],[-0.045941883400018924],[0.5540836445013544],[78456],5745.595258077584
6,1.016374830538E12,2002-03-17,1_1_2_LE07_004016_20020317,-9.370967094570728,[-4.307809497040012],[-16.63609493403999],[1.255752709279869],[78507],13599.237681973633
6,1.026051607135E12,2002-07-07,1_1_2_LE07_004016_20020707,3.896358668259903,[16.626858890840026],[1.1799993500000596],[0.7684077836376123],[78065],5895.83315992211
6,1.028816392097E12,2002-08-08,1_1_2_LE07_004016_20020808,3.803485036941386,[13.466960925199999],[0.5959554365600184],[0.6794728464834392],[78175],5777.539559865197
6,1.031581179254E12,2002-09-09,1_1_2_LE07_004016_20020909,3.352745256847172,[8.08934904296001],[-1.8641918025999757],[0.7299298797326702],[78515],5790.5073138793605
6,1.050934825876E12,2003-04-21,1_1_2_LE07_004016_20030421,-0.9152180168572903,[7.632031639040008],[-8.925062322159988],[0.894217581394462],[78507],13535.037138306021
6,1.053699622838E12,2003-05-23,1_1_2_LE07_004016_20030523,1.461078680080582,[14.646068448560072],[0.29015885924002305],[0.7305335229260569],[78507],13565.595394615773
6,1.082730049541E12,2004-04-23,1_1_2_LE07_004016_20040423,-1.4988033377380199,[2.3343125562800537],[-6.864379080399999],[1.8393029162428216],[40772],13630.085492434913
6,1.086877245616E12,2004-06-10,1_1_2_LE07_004016_20040610,3.2379816824394037,[17.896878910160012],[1.0064391304400147],[0.9247670834693308],[64113],6162.623144769067
6,1.08825964322E12,2004-06-26,1_1_2_LE07_004016_20040626,3.8036965482636957,[17.962997089040073],[0.8797126209200314],[0.9490569420421648],[61158],5940.811047754306
6,1.097936419813E12,2004-10-16,1_1_2_LE07_004016_20041016,0.9271195212589991,[3.483115914320024],[-4.068131098599963],[0.8826658210019694],[63616],10438.525103284217
